 ,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29
1,4.039,1.533,2.074,1.978,0.546,0.551,0.954,1.917,1.306,0.746,1.516,1.990,1.044,0.543,2.209,0.716,0.403,2.851,3.574,3.946,3.547,0.861,1.606,1.875,3.073,3.001,2.107,1.413,1.561,1.075
2,1.807,1.321,1.709,2.151,0.716,0.491,1.523,2.567,0.963,0.891,0.310,1.735,1.717,0.942,1.057,1.021,0.534,1.014,2.592,2.474,1.573,0.806,0.779,1.282,3.066,2.127,1.606,1.011,2.029,1.910
3,0.955,0.543,0.812,2.006,0.806,0.736,0.569,2.578,0.871,1.464,0.455,1.122,1.883,0.457,0.696,1.111,0.852,1.234,1.978,2.495,2.676,0.972,0.365,1.274,2.701,1.455,1.101,1.348,1.657,2.511
4,0.800,0.454,1.113,2.327,0.766,0.784,0.985,2.027,1.624,0.757,1.261,1.264,2.112,0.855,1.058,0.978,2.437,0.809,2.797,4.337,2.011,0.556,1.169,2.251,2.990,0.839,0.918,0.356,0.355,2.033
5,0.999,0.742,0.871,0.932,0.607,0.852,2.714,2.003,0.400,1.539,0.589,0.673,1.911,0.503,0.358,1.505,1.384,1.611,1.189,3.238,2.162,0.528,1.865,1.329,1.180,0.856,0.750,0.135,1.212,1.185
6,0.723,1.526,1.117,0.892,1.390,0.476,2.159,1.155,0.000,1.085,2.156,1.380,1.872,1.048,1.062,1.745,1.371,1.452,1.802,2.380,2.449,0.750,1.253,1.553,0.695,1.250,0.601,0.671,1.847,1.523
7,2.187,1.458,1.499,1.099,1.493,0.838,1.791,2.059,0.478,0.705,1.671,1.163,1.037,0.968,1.306,1.368,1.174,1.610,2.104,5.030,1.387,0.917,2.112,1.024,1.861,1.561,0.630,1.280,0.985,1.357
8,1.675,1.514,0.826,0.676,1.226,0.790,1.972,1.634,0.590,0.379,3.083,2.608,0.767,1.381,1.436,0.932,1.211,1.403,3.099,9.559,3.286,0.889,3.848,1.962,1.100,1.661,0.812,1.170,0.715,2.212
9,1.261,2.041,0.148,1.219,1.159,1.277,0.985,1.356,0.258,0.545,4.601,3.022,0.764,0.416,1.976,0.603,1.647,1.661,2.884,10.061,3.525,0.583,8.939,2.821,2.049,1.109,1.178,1.692,1.435,1.623
10,1.586,1.080,1.500,1.845,1.514,0.622,2.084,0.956,0.112,0.386,4.323,6.127,0.505,0.864,1.571,0.543,2.105,1.333,4.764,10.647,1.751,0.333,10.676,4.563,3.113,0.938,1.046,3.118,2.135,2.034
