 	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	y11	y12	y13	y14	y15	y16	y17	y18	y19	y20	y21	y22	y23	y24	y25	y26	y27	y28	y29
1	4.567	7.257	3.969	7.059	4.618	2.887	3.758	8.810	4.062	4.239	6.670	5.457	5.327	4.184	3.944	10.363	4.603	5.768	13.450	8.712	8.907	5.111	6.203	6.960	8.545	6.520	6.920	8.882	5.141	4.539
2	5.506	5.962	3.547	4.765	3.975	3.909	3.541	6.752	4.896	3.965	5.476	5.229	5.214	2.346	4.635	8.458	3.549	6.283	12.401	8.223	8.340	4.667	5.928	7.912	7.631	6.738	6.391	9.084	5.561	4.313
3	5.601	3.790	4.719	4.382	3.615	4.912	3.301	5.187	7.001	4.465	7.365	4.821	4.506	3.814	5.160	7.599	5.324	5.788	13.049	12.007	9.946	3.639	4.957	7.841	7.103	7.464	7.520	10.549	6.673	6.614
4	5.390	4.486	4.927	5.845	4.214	4.423	3.306	4.241	6.458	5.679	5.500	4.040	3.891	5.833	3.022	7.980	2.883	3.093	14.174	10.172	10.635	4.917	7.526	6.374	5.932	7.221	6.086	6.508	7.029	8.517
5	4.533	3.749	4.526	5.653	2.897	3.044	4.596	6.647	3.591	5.602	6.627	4.945	3.790	3.191	3.709	8.885	4.502	5.335	10.686	8.911	8.318	5.667	7.272	7.007	7.120	7.006	6.318	7.596	6.471	6.339
6	4.311	5.072	3.818	4.087	2.314	3.678	4.807	6.706	4.546	7.169	7.238	4.839	4.762	5.220	3.125	7.363	6.567	6.739	8.860	10.286	12.159	4.111	5.625	6.007	7.060	8.354	6.090	5.896	7.042	7.150
7	6.529	4.772	5.115	4.467	3.958	3.968	6.599	3.983	4.237	5.249	8.315	5.842	5.079	3.718	3.933	9.795	5.649	3.957	8.084	9.747	10.884	5.861	5.365	7.230	4.478	8.642	5.208	6.828	6.970	5.327
8	6.316	4.897	5.485	5.153	3.173	4.042	4.517	4.950	5.710	5.668	7.255	5.739	4.792	5.160	3.924	9.645	4.468	5.797	11.756	14.824	9.158	6.722	7.577	5.156	4.566	7.247	5.170	6.190	6.040	5.776
9	6.537	6.475	5.299	4.809	4.123	4.036	5.342	4.917	5.659	4.575	7.849	5.635	3.685	5.643	4.113	9.651	4.147	8.418	8.227	14.933	11.710	5.250	8.351	7.080	6.710	7.011	4.820	6.492	7.673	4.739
10	7.272	6.166	5.980	7.516	3.427	5.554	5.883	4.467	5.068	8.035	8.309	7.882	4.491	3.033	5.545	8.222	4.523	6.750	10.878	12.030	11.364	5.028	13.219	7.735	7.103	7.297	5.150	7.782	9.737	6.389
11	7.336	6.328	6.213	7.162	4.256	4.622	5.039	5.378	4.340	7.039	9.359	7.097	4.335	3.945	4.992	9.831	5.062	9.701	13.616	9.433	9.338	5.056	13.083	9.687	7.651	8.755	4.712	5.704	7.779	6.314
12	7.777	5.119	7.461	7.107	4.671	3.854	9.451	3.971	3.609	8.061	7.733	6.833	3.773	3.543	6.141	8.505	6.864	8.998	16.758	9.806	12.796	6.556	11.458	9.403	8.224	9.394	5.724	10.289	7.390	5.797
13	9.944	7.886	8.821	7.233	4.397	3.943	8.595	4.925	4.540	6.771	7.346	5.027	5.340	4.968	7.078	10.956	7.802	10.498	16.394	7.185	10.367	7.361	8.438	9.476	8.983	10.151	6.969	10.079	8.934	6.364
14	12.858	10.919	8.784	6.142	3.661	5.261	6.796	5.476	4.498	9.288	5.724	4.013	6.130	5.912	5.584	9.134	5.938	11.759	13.780	8.170	9.747	7.167	6.309	8.862	8.578	11.034	7.132	10.344	9.759	6.973
15	16.823	10.205	5.633	8.451	3.399	5.814	6.765	6.727	6.342	10.528	5.878	4.869	8.784	5.371	7.110	8.962	7.036	12.436	10.413	5.780	7.849	8.361	5.697	8.803	4.224	10.981	7.378	11.599	9.651	5.483
16	13.934	11.739	5.062	7.043	3.144	6.140	5.445	7.225	7.067	9.485	4.019	5.234	7.167	4.291	10.867	9.373	10.072	12.881	9.031	5.771	10.236	6.222	8.473	5.971	7.422	11.919	7.023	11.458	9.655	6.610
17	11.234	9.918	10.472	8.764	3.849	5.467	6.180	7.312	6.342	7.695	4.561	4.541	5.878	4.490	7.141	9.434	9.695	15.561	9.748	6.057	12.521	5.167	8.400	6.532	3.142	11.428	7.008	9.542	7.654	7.797
18	10.209	8.092	10.614	7.354	5.143	6.257	4.587	6.431	9.709	6.082	4.297	4.357	4.613	4.327	8.617	10.207	10.550	20.066	8.117	5.772	9.696	6.139	7.006	7.206	4.541	11.098	7.517	6.999	7.057	9.614
19	6.847	8.414	8.527	8.729	2.951	6.704	4.270	6.875	8.263	7.164	5.605	3.768	4.978	4.053	12.210	11.533	6.908	14.494	9.110	7.210	8.339	4.889	5.900	5.824	5.065	10.954	9.203	6.767	7.586	6.643
20	6.860	6.209	7.135	9.683	3.200	6.289	4.296	7.047	7.133	7.191	4.370	4.934	4.798	5.606	8.632	12.004	5.723	9.940	7.861	3.853	9.828	4.333	7.693	5.701	6.096	11.741	8.659	8.329	7.802	6.985
21	8.728	7.920	3.692	11.754	6.110	5.651	3.809	4.494	4.760	5.827	3.702	6.019	4.355	5.150	7.791	10.821	7.797	9.515	6.792	5.436	8.701	4.889	7.723	3.557	7.283	11.157	5.734	6.924	7.439	7.277
22	5.575	4.226	5.218	11.827	0.000	6.903	3.017	4.946	3.966	5.642	3.002	5.636	2.945	5.139	6.656	8.642	6.294	8.771	8.273	4.878	11.582	5.667	6.153	4.612	0.000	8.649	6.253	3.902	7.483	6.803
23	4.706	4.225	3.802	9.939	0.000	5.209	4.350	5.262	4.445	6.390	4.325	6.508	4.361	5.691	6.750	9.047	7.266	7.948	9.003	0.000	12.940	5.167	5.695	4.944	0.000	11.477	8.511	4.046	7.992	6.408
24	4.143	5.013	5.453	9.626	0.000	5.495	2.660	5.628	4.720	8.610	3.621	0.000	5.678	5.315	4.779	12.310	4.431	7.420	9.692	0.000	11.064	5.889	5.443	7.549	0.000	12.689	8.067	4.319	0.000	6.707
25	6.871	3.403	2.873	8.894	0.000	5.398	2.155	4.065	3.848	0.000	0.000	0.000	6.268	6.530	3.175	8.822	2.976	8.125	0.000	0.000	9.132	0.000	5.544	6.258	0.000	8.095	7.060	5.312	0.000	5.273
26	5.374	4.986	3.478	8.084	0.000	7.024	4.926	5.433	6.849	0.000	0.000	0.000	0.000	4.683	3.603	8.407	3.326	7.958	0.000	0.000	10.554	0.000	0.000	0.000	0.000	7.892	6.083	3.149	0.000	0.000
27	5.449	4.841	2.428	6.580	0.000	6.560	3.829	5.818	5.556	0.000	0.000	0.000	0.000	5.375	3.724	7.380	6.439	6.351	0.000	0.000	9.220	0.000	0.000	0.000	0.000	10.094	5.262	6.842	0.000	0.000
28	4.853	6.365	2.989	5.417	0.000	7.155	0.000	4.262	3.373	0.000	0.000	0.000	0.000	4.447	4.703	8.287	6.625	5.991	0.000	0.000	12.463	0.000	0.000	0.000	0.000	12.650	4.760	5.594	0.000	0.000
29	4.276	5.525	3.773	6.123	0.000	0.000	0.000	0.000	6.408	0.000	0.000	0.000	0.000	0.000	2.859	10.895	4.285	6.304	0.000	0.000	9.787	0.000	0.000	0.000	0.000	11.785	6.210	0.000	0.000	0.000
30	5.905	7.726	4.422	5.044	0.000	0.000	0.000	0.000	7.697	0.000	0.000	0.000	0.000	0.000	2.329	8.532	5.622	6.401	0.000	0.000	10.600	0.000	0.000	0.000	0.000	0.000	5.526	0.000	0.000	0.000
31	6.022	5.397	4.454	4.129	0.000	0.000	0.000	0.000	8.057	0.000	0.000	0.000	0.000	0.000	3.719	9.383	8.334	6.308	0.000	0.000	8.966	0.000	0.000	0.000	0.000	0.000	5.131	0.000	0.000	0.000
32	6.161	0.000	3.702	5.086	0.000	0.000	0.000	0.000	8.951	0.000	0.000	0.000	0.000	0.000	3.748	9.113	4.959	5.308	0.000	0.000	7.711	0.000	0.000	0.000	0.000	0.000	4.060	0.000	0.000	0.000
33	7.949	0.000	3.480	4.940	0.000	0.000	0.000	0.000	6.926	0.000	0.000	0.000	0.000	0.000	4.175	8.923	4.136	6.099	0.000	0.000	7.913	0.000	0.000	0.000	0.000	0.000	3.840	0.000	0.000	0.000
34	8.404	0.000	4.336	3.369	0.000	0.000	0.000	0.000	6.394	0.000	0.000	0.000	0.000	0.000	6.111	8.709	0.000	0.000	0.000	0.000	9.799	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
35	7.584	0.000	3.385	3.790	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.303	8.859	0.000	0.000	0.000	0.000	9.506	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
36	7.302	0.000	0.000	4.826	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.056	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
37	5.137	0.000	0.000	5.110	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.857	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
38	4.865	0.000	0.000	5.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
